"Taxon","NRI_z","NRI_p","NRI_sd","NTI_z","NTI_p","NTI_sd","Significant"
"Crenarchaeota",-1.47448424086723,0.072,0.105653421002923,-2.51806281036,0.009,0.136033424608335,"Yes"
"Halobacterota",-6.87768862449087,0.001,0.118385800019005,-4.37877704236336,0.001,0.152054338942538,"Yes"
"Nanoarchaeota",-2.01531592635035,0.021,0.297441719966773,-1.84360000244857,0.053,0.335286162968593,"Yes"
"Thermoplasmatota",-4.70327080211744,0.001,0.13447311934666,-2.53593792965242,0.009,0.172069805058748,"Yes"
"Euryarchaeota",-1.58561062124435,0.057,0.424606702434216,-1.56905106452242,0.064,0.414181759724823,"No"
"Aenigmarchaeota",-2.0910609958253,0.016,0.304733263528737,-2.05546012863902,0.038,0.323274726455919,"Yes"
"Halobacteriota",-4.55446282883678,0.001,0.209037781759436,-3.5443651638043,0.001,0.253988439647863,"Yes"
"Thermoproteota",-1.64739563491871,0.043,0.128614780413938,-1.87758528550117,0.034,0.165006776555302,"Yes"
