"Taxon","NRI_p","NTI_p","NRI_z","NTI_z","Significance"
"Crenarchaeota",0.072,0.009,-1.47448424086723,-2.51806281036,"NTI"
"Halobacterota",0.001,0.001,-6.87768862449087,-4.37877704236336,"Both"
"Nanoarchaeota",0.021,0.053,-2.01531592635035,-1.84360000244857,"NRI"
"Thermoplasmatota",0.001,0.009,-4.70327080211744,-2.53593792965242,"Both"
"Euryarchaeota",0.057,0.064,-1.58561062124435,-1.56905106452242,"None"
"Aenigmarchaeota",0.016,0.038,-2.0910609958253,-2.05546012863902,"Both"
"Halobacteriota",0.001,0.001,-4.55446282883678,-3.5443651638043,"Both"
"Thermoproteota",0.043,0.034,-1.64739563491871,-1.87758528550117,"Both"
